tweet;label
Alhamdulillah, BPJS sudah semakin bagus menurut saya. Semoga harga naik harus ditambah lagi fasilitas dan kemudahannya. Aplikasinya juga makin mumpuni, dulu pas BPJS masih jelek banget diawal saya selalu pake asuransi perusahaan, tapi kesini saya makin sering pake BPJS soalnya menurut saya jadi lebi...Ulasan LengkapAlhamdulillah, BPJS sudah semakin bagus menurut saya. Semoga harga naik harus ditambah lagi fasilitas dan kemudahannya. Aplikasinya juga makin mumpuni, dulu pas BPJS masih jelek banget diawal saya selalu pake asuransi perusahaan, tapi kesini saya makin sering pake BPJS soalnya menurut saya jadi lebih mudah, luas, cepat. Hanya dengan ektp dan hp sudah bisa mendapatkan pelayanan kesehatan, walau kadang pelayanan kesehatannya masih kurang bila memakai BPJS. Tapi saya suka cepetnya itu. Sukses BPJS;1
Pelayanannya harus lebih ditingkatkan , baik dokter, para medis , staff BPJS nya , lab nya banyak hal masih spt biasa / dulu aja , spt PNS di kelurahan aja Mengingat iuran sdh naik jdi hrus komit gitu;1
Layanan BPJS semakin baik dan sesuai kebutuhan. Soal antri, itu hal yg wajar, tinggal bagaimana kita mengatur suasana. Smg kita semua selalu sehat, bahagia, selamat dan sukses.;1
"Terus maju BPJS semoga nantinya Rakyat bisa diobati dan di layani oleh RSU dan Faskes dgn iuran bulanan yang tidak membebani Rakyat..salam NKRI "" Salam Hormat """;1
sangat membantu, terima kasih banyak. sarannya mungkin lebih cepat dalam pengubahan tempat puskesmas. nunggunya sebulan baru bisa dipake di puskesmas yg baru. semangat terus para generasi Indonesia !;1
Aplikasi sangat bermanfaat dan membantu Saran perbaikan tampilan. Tampilan gambar yg berisikan informasi keterangan, terpotong sdikit bagian atas dan bawah..pada android 9 mode layar penuh;1
Awesome mobile JKN....Terima kasih berkat ada mobile JKN sy tidak perlu datang antri ke BPJS, cukup update perubahan data turun kelas di aplikas ini.. Bravo JKN BPJS KESEHATAN.. ??????;1
Aplikasi terkeren dari BPJS KESEHATAN .Sebagai Wujud kepedulian BPJS kesehatan untuk semua peserta agar update terkini mengenai BPJS KESEHATAN .mudah dan cepat diketahui peserta...Semangaddd????;1
Alhamdulillah sejauh ini sangat merasakan manfaat dari BPJS. Pelayanan juga setara dengan pasien umum. Semoga kedepannya semakin bagus dan meningkat pelayanannya. Bukan sebaliknya.;1
Mantapnih sejak ada aplikasi mubail jkn jadi saya beserta teman teman yang lain jadi bisa mengontrol pembayaran atau iyuran bulanan. Tapi sayangnya mubail jkn ini belum bisa dipakai oleh orang tunanetra atau buta sehingga apa apa harus minta tolong dengan orang awas atau normal memang pemerintah mud...Ulasan LengkapMantapnih sejak ada aplikasi mubail jkn jadi saya beserta teman teman yang lain jadi bisa mengontrol pembayaran atau iyuran bulanan. Tapi sayangnya mubail jkn ini belum bisa dipakai oleh orang tunanetra atau buta sehingga apa apa harus minta tolong dengan orang awas atau normal memang pemerintah mudah saja bilang ya minta tolong dong sama anak dan tetangga tapi kita sebagai penyandang bisabilitas tidak semudah teori minta tolong sama orang itu susah banyak alasan terutama alasanya sibuk.;1
Sangat membantu untuk pindah faskes bisa dgn aplikasi ini ya walaupun kita udh pindah faskes tpi di gunakan bisanya di awal bulan kalo bisa sih jgn terlalu lama..terima kasih;1
Sangat berguna,bermanfaat dan membantu Beberapa kali istri dan anak berobat pakai bpjs,semuanya alhamdulillah dpt pelayanan terbaik,bahkan saat kamar kelas 2 habis pihak RS memberikan kamar VIP nya tanpa meminta penambahan biaya sedikitpun.... Terima kasih BPJS;1
Bagus sangat informatif, kebijakan udah di perhitungkan matang matang jadi jelas tinggal penerapan dilapangan aja yang lebih aktif lagi para pengayom masyarakat langsung ??;1
Sangat membantu dengan adanya aplikasi bpjs mobile tanpa perlu repot-repot antri di kantor pusat nya cma ya itu kadang perlu ekstra kesabaran untuk dapatkan rawat inap di rumah sakit yg kita rujuk padahal kamar ada yg kosong tapi di bilang penuh;1
Terimakasih bpjs,bpjs sy di jkrt yg pbi, dan saya melahirkan disurabaya,dan ternyata tercover,jadi berasa diperhatikan pemerintah klo begini ,terimakasih atas pelayanannya, sy bersyukur dapat membantu sy untuk pembiayaan kelahiran caesar yg mahal semua free krn dibantu pemerintah pusat,untuk kalian ...Ulasan LengkapTerimakasih bpjs,bpjs sy di jkrt yg pbi, dan saya melahirkan disurabaya,dan ternyata tercover,jadi berasa diperhatikan pemerintah klo begini ,terimakasih atas pelayanannya, sy bersyukur dapat membantu sy untuk pembiayaan kelahiran caesar yg mahal semua free krn dibantu pemerintah pusat,untuk kalian yg tidak mampu jgn takut pemerintah dan bpjs sudah perbaiki layanan,walaupun kalian tidak berada di faskes pertama,untuk pemerintah dki jkt terima kasih banyak,gbu;1
Mobile JKN, bpjs kesehatan, aplnya bagus banget... ini juga sangat membantu saya. Makasih, mobile JKN & bpjs kesehatan;1
Aplikasi bagus dan membantu pengguna bpjs, akan tetapi jika memungkinkan setiap ada update aplikasi pengguna yang sudah menginstal dan sudah login tidak perlu untuk login kembali, seperti pada aplikasi2 lainnya;1
Aplikasinya sih ok banget. Hanya harga naik kelas 1 jadi 160 rb tapi tetap harus rujukan dulu ke faskes pertama. Lebih baik pakai swasta bisa langsung ke spesialis atau rs tanpa rujukan. Mana ni bpjs tidak bisa distop lagi. Sungguh sangat memberatkan rakyatnya Seharusnya ada perbedaan antara bayar m...Ulasan LengkapAplikasinya sih ok banget. Hanya harga naik kelas 1 jadi 160 rb tapi tetap harus rujukan dulu ke faskes pertama. Lebih baik pakai swasta bisa langsung ke spesialis atau rs tanpa rujukan. Mana ni bpjs tidak bisa distop lagi. Sungguh sangat memberatkan rakyatnya Seharusnya ada perbedaan antara bayar mandiri dan perbedaan kelas. Bpjs ngantrinya buset deh.k alai swasta langsung tancap gas... Kalau anggota dewan dan lainnya ngantri nggak yaa.;1
Alhamdulillah dengan adanya bpjs saya bisa melaksanakan operasi hernia dan semua ditanggung oleh bpjs kecuali alat yang dipasang agar tidak kambuh lagi penyakitnya. ????????;1
Aplikasi ini sangat membantu sekali buat saya,,jdi gak perlu repot2 antri ngurus sana sini,mau pindah faskes dll tinggal lwt sini aja, makasih;1
Bagus... Sangat membantu proses pindah faskes dan cetak kartu. Kekurangannya sering bgt pas mau update data, disuruh update aplikasinya.;1
Sangat bermanfaat. Mengurangi antrian. Mungkin perlu ada menu SPJ untuk mata. Jadi tinggal upload bukti2, diverifikasi petugas BPJS. Bila sesuai transfer ke rekening peserta BPJS. Terima kasih BPJS;1
Sangat membantu sekali, terima kasih BPJS, semoga selalu mengembangkan aplikasinya untuk mempermudah kami, para peserta JKN KIS. Semangat..;1
BPJS memang sangat membantu untuk masalah penyakit2 yg serius..dan itu benar2 saya rasakan,kalau tidak ada BPJS mungkin sudah berapa juta harus kami bayar ke rumah sakit jika harus menginap.. Tapi mohon untuk para dokter jgn terlalu cuek pada pasien BPJS , karna kami juga bayar setiap bulan nya..;1
"Aplikasinya bagus bgt,, sangat membantu sekali,, yang dulunya kalo mau bikin BPJS harus kekantor BPJS n ngantri dah gitu nunggu jadinya lama Ampe berbulan"", sekarang tinggal download, buka aplikasi, ngisi formulir berapa menit kemudian BPJS udah jadi... N gratis lagi. Pokoknya bagus bgt. Lope...lope...Ulasan LengkapAplikasinya bagus bgt,, sangat membantu sekali,, yang dulunya kalo mau bikin BPJS harus kekantor BPJS n ngantri dah gitu nunggu jadinya lama Ampe berbulan"", sekarang tinggal download, buka aplikasi, ngisi formulir berapa menit kemudian BPJS udah jadi... N gratis lagi. Pokoknya bagus bgt. Lope...lope bgt.";1
Aplikasi yang sangat Keren. Dan membantu Perseta BPJS dalam segi administrasi perubahan data, komplain, dll. dan history riwayat kesehatan kita tercatat dengan baik. Terima kasih untuk Aplikasi Mobile JKN.;1
Sangat terbantu, mudah dan cepat mendapatkan informasi, semoga menambah taraf kesehatan masyarakat meningkat, dengan adanya aplikasi ini. Aamiin;1
Sy sangat berterimakasih karna Aplikasi ini sangat membantu sekali.pengalaman sy saat anak sy yg baru lahir. Utk pndftaran pserta baru dan Memindhkn akses klinik atau RS tetdekat. Jd ga prlu mundar mandir ke kantor BPJS lg tuk mengantri.;1
mantafft...koment sebelumnya pada kaga danta, ini barusan saya download mudah dan cepat....semoga kedepannya semakin baik dan lancar...aamiiinnn...thank's BPJS;1
Aplikasi bagus mempermudah utk mencari informasi seputar bpjs......dan alhamdulillah bpjs sudah tidak naik lagi yaaa..sy baru mendaftarkan anak ke 4 saya di bpjs tp masih dengan biaya 40 rbuan tp blm sy bayarkankrn kartu bpjs nya blm jadi trus sy nanti hrs bayar sesuai dengan yg update sekarang kan?...Ulasan LengkapAplikasi bagus mempermudah utk mencari informasi seputar bpjs......dan alhamdulillah bpjs sudah tidak naik lagi yaaa..sy baru mendaftarkan anak ke 4 saya di bpjs tp masih dengan biaya 40 rbuan tp blm sy bayarkankrn kartu bpjs nya blm jadi trus sy nanti hrs bayar sesuai dengan yg update sekarang kan?..mohon penjelasannya yaa makasih;1
Pengalaman sy selama menggunakan aplokasi ini sangat baik, perubahan faskes, perubahan kelas BPJS, dan pengecekan pelunasan biaya premi dapat dilakukan melalui online, good job;1
Mantull. Sangat membantu ketika kartu tertinggal. Tapi seiring berjalannya waktu aplikasinya juga harus sering2 di Update kalo gak, gak bisa di buka juga.;1
Aplkasi ini sangat bagus dan sangat bermanfaat, apalagi saat ini harus stay di rumah, jdi tidak mesti harus kekantor lagi, tpi ,klw bleh bsa d kasih pilihan lain untuk pembayarannya selain autodebt. Terimakasih;1
Sangat membantu. Sudah ada menu tambahan, yaitu menu daftar obat yg ditanggung, kesediaan ruang rawat inap, jadwal operasi dan surat rujukan. Untuk PINDAH KELAS SANGAT MUDAH! tidak perlu datang ke kantor cabang. Tinggal klik daftar, aktivasi akun, log in, ubah data oeserta, ubah kelas, simpan, seles...Ulasan LengkapSangat membantu. Sudah ada menu tambahan, yaitu menu daftar obat yg ditanggung, kesediaan ruang rawat inap, jadwal operasi dan surat rujukan. Untuk PINDAH KELAS SANGAT MUDAH! tidak perlu datang ke kantor cabang. Tinggal klik daftar, aktivasi akun, log in, ubah data oeserta, ubah kelas, simpan, selesai deh. Top;1
Bagus,cuma sayang setiap buka aplikasi harus update lagi dan lagi..;1
Saya ikutan bpjs kesehatan dari kantor, satu kk, setelah ada perubahan dari kantor, saya harus manunggal, data-data saya di group jadi gak ada.;1
"Pelayanannya sebenarnya sama saja antara bpjs dan umun cm kadang"" saja si pasien yg tidak sabar banyak yg mengeluh katanya dibedakan.biarpun kita pk bpjs tp kita kan juga bayar cm istilahnya nyicil tiap bulan.";1
Bagus bisa gantikan kartu kalau lupa dibawa...tingkatkan terus pelayanan agar semakin baik lagi...;1
Klo mau daftar berobat jadi mudah, gak perlu bolak- balek ke faskes 1 .....?;1
Sangat membantu bisa kontrol perkembangan kesehatan... Luar biasa...;1
Sehat itu mahal;1
Bisa kontrol aktifx kartu;1
Tingkatkan terus pelayanan dan tambahkan menu/fitur baru yg inovatif sehingga konsumen tidak perlu datang langsung ke kantor bpjs untuk layanan administrasi.;1
Terimakasih Mobile JKN sangat membantu kami dalam memeriksa JKN kami... Mobile JKN mudah di gunakan dan sangat membantu terus tingkatkan pelayanan anda . Terimakasih ??????;1
Alhamdulillah terbantu merubah Faskes dan alamat tempat tinggal gampang..jd ga perlu lagi ke kantor BPJS nya..;1
Terima kasih sudah membantu, ini lebih memudahkan tanpa harus menggunakan kartu. Terima kasih JKN;1
Smoga RSUD CIBINONG sllu mnjadi Rumah Sakit unggulan untuk smua kalangan & smoga setiap saat sllu memberikan layanan & pelayanan dengan Sepenuh Hati;1
Sangat membantu.. tdk lg harus antri sekadar untuk mengganti faskes, atau memgecek kepesertaan... n tdk perlu panik klo berobat tp lupa bawa kartu karena sudah ada KIS digitalnya... ??????;1
Aplikasi bagus sangat membantu Ada kritik dan saran untuk klinik atau puskesmas yg dituju Semoga klinik ataupun puskesmas dengan senang hati,tulus melayani pelanggan BPJS;1
saya amat sangat berterimakasih pd bpjs, amat sangat membantu disaat saat genting, saya sendiri mengalaminya, skali lagi matur nuwun bpjs...;1
Sy sebagai peserta bpjs. Merasa puas atas ketersedian mobil JKN. Ini merupakan solusi terbaik untuk pengguna bpjs. Selamat dan sukses bpjs.;1
Terimakasih BPJS atas pelayanannya sangat baik. Semoga semakin dimudahkan jalannya utk membantu masyarakat Indonesia dan segera selesai semua permasalah keuangannya. aamiin;1
Sangat bermanfaat ketika kartu BPJS belum jadi Sehingga kita bisa menggunakan Aplikasi ini sebagai pengganti kartu yang belum jadi;1
Lebih praktis, jika berobat tidak perlu bawa kartu JKN, tapi hanya tunjukkan kartu JKN pada Mobile JKN setelah log in;1
Mempermudah kita melihat ruangan yang tersedia di rumah sakit, dan rumah sakit yang bekerja sama dengan bpjs;1
Lebih memudahkan kita untuk mengetahui segala hal tentang kesehatan/obat yang ditanggung/tidak oleh pihak BPJS dan semua prosesnya kita pun paham.;1
Alhamdulillah.. Sangat bermanfaat... Ganti Faskes cukup dengan online... Terimakasih... ??;1
Aplikasi sudah oke, tetapi jika mau ada perubahan sebaiknya data yg sudah ada diaktifkan secara automatis;1
1. Mudah membuka aplikasi, 2. Masih ada yang sulit untuk menerima riwed Link'aja tiap bulan;1
Aplikasi ini amat sangat membantu.. karena kami bisa jadi tahu tentang data kami dengan cepat.. Mobile JKN.. tetap semangat... !!!??;1
Mudah sekali cara pengguna an nya. Semua informasi tentang kesehatan ada di sini. Juga informasi data kesehatan kita. Man Tuuul......;1
Sangat membantu dengan adanya bpjs, cuma saya harap pihak rumah sakit biar lebih maksimal lg dalam melayani pasien bpjs karna kami juga bayar stiap bulan nya.;1
Informasi 2020 BPJS NAIK. Bagaimana dengan peserta yg sudah bayar untuk 3 bulan ke depan. Apa juga ada kenaikan? Mohon tanggapan. Terimakasih;1
Bagus bagus,,cuma kadang susah masuk kalo pas mau daftar... tingkatkan terus pelayanannya;1
Sudah seminggu lebih aplikasi tidak bisa login. aplikasi yang sangat membantu dan mempermudah tp tolong jangan tiap berapa minggu harus memperbaharui aplikasinya.;1
